Seconds_Since_Start,Score_Difference
32,3
62,5
82,3
98,5
115,3
178,5
187,3
252,5
263,2
282,-1
318,-3
331,0
354,2
417,0
428,2
463,4
476,2
488,4
501,2
526,0
550,1
567,-1
606,-3
627,-1
640,-3
667,-5
688,-3
749,-1
792,-3
814,-1
851,-3
870,1
947,-1
972,1
997,3
1003,1
1021,3
1028,1
1041,3
1060,0
1118,-3
1151,0
1183,-3
1229,-1
1281,-3
1315,-6
1346,-8
1369,-6
1380,-7
1394,-5
1430,-3
1440,-6
1456,-9
1481,-7
1492,-10
1521,-9
1539,-11
1555,-8
1568,-10
1586,-8
1620,-5
1644,-2
1697,-5
1729,-6
1745,-4
1791,-8
1808,-7
1829,-5
1839,-7
1859,-5
1876,-3
1899,0
1925,2
1939,0
1968,2
2010,-1
2016,1
2027,-1
2045,2
2055,-1
2100,-3
2119,-5
2134,-2
2160,-4
2205,-2
2262,-5
2297,-7
2328,-5
2368,-7
2405,-5
2439,-2
2461,-5
2485,-3
2492,-6
2506,-4
2538,-2
2593,-3
2609,0
2634,2
2704,0
2757,-3
2792,-6
2811,-4
2843,-3
2866,-2
2874,1
