Seconds_Since_Start,Score_Difference
27,2
52,4
84,2
106,4
136,6
205,9
237,11
265,9
284,12
324,10
345,12
359,10
380,12
401,10
419,12
431,10
483,12
490,11
503,10
522,12
527,11
541,9
570,6
604,3
656,0
688,-2
773,1
788,-1
807,1
817,0
835,3
848,0
884,-2
968,0
984,2
1006,5
1016,3
1037,6
1092,8
1124,10
1157,12
1173,10
1239,8
1254,10
1271,13
1283,11
1302,13
1316,11
1382,10
1409,9
1434,11
1531,9
1623,11
1639,8
1660,6
1686,8
1751,10
1794,8
1832,6
1875,8
1900,10
1915,9
1968,6
1999,9
2010,7
2024,9
2053,11
2067,9
2079,10
2092,8
2157,10
2210,8
2224,10
2263,8
2295,10
2369,12
2389,10
2416,8
2426,6
2515,9
2548,12
2558,10
2597,8
2629,10
2665,7
2706,9
2715,7
2770,5
2802,3
2822,6
2831,4
2859,2
2875,3
