Seconds_Since_Start,Score_Difference
25,-2
39,-5
93,-7
115,-4
140,-6
155,-4
215,-2
251,0
271,-2
282,0
298,-2
312,0
334,-2
407,0
437,-3
455,0
471,-3
508,-1
538,1
550,-2
611,-3
638,0
656,-2
688,-4
720,-7
734,-5
771,-4
782,-6
803,-9
817,-6
879,-4
893,-7
903,-4
917,-6
939,-4
962,-6
996,-9
1039,-10
1057,-8
1097,-11
1117,-9
1141,-11
1174,-13
1187,-11
1209,-13
1230,-15
1243,-14
1267,-16
1338,-14
1357,-16
1381,-14
1401,-12
1421,-10
1461,-12
1498,-14
1536,-17
1553,-14
1576,-17
1595,-15
1619,-17
1649,-19
1667,-21
1705,-23
1735,-22
1765,-20
1775,-22
1788,-20
1808,-23
1831,-20
1864,-17
1924,-15
1967,-16
1993,-14
2004,-17
2040,-19
2047,-17
2068,-20
2080,-18
2101,-20
2181,-22
2215,-23
2230,-21
2255,-23
2268,-21
2295,-23
2331,-20
2344,-23
2386,-27
2399,-25
2416,-28
2507,-26
2537,-23
2559,-24
2571,-22
2592,-24
2631,-27
2659,-29
2704,-26
2736,-24
2760,-21
2776,-23
2847,-21
2864,-24
2880,-22
