Seconds_Since_Start,Score_Difference
16,-2
46,1
64,-1
86,1
138,3
184,5
195,3
221,1
267,-1
429,-3
462,-6
484,-8
501,-7
553,-4
641,-1
647,-3
671,-6
720,-7
847,-5
855,-6
869,-3
889,-5
914,-3
931,-5
959,-7
1036,-5
1071,-7
1094,-5
1119,-7
1132,-4
1146,-6
1181,-8
1199,-6
1216,-8
1292,-10
1338,-8
1376,-6
1388,-4
1415,-3
1438,-6
1467,-4
1515,-7
1572,-5
1586,-3
1614,-1
1635,-4
1669,-6
1695,-3
1708,-4
1740,-6
1787,-3
1865,-5
1902,-8
1960,-6
1975,-4
2004,-6
2056,-3
2096,-5
2129,-8
2147,-6
2232,-5
2259,-3
2273,-5
2294,-3
2329,0
2364,-2
2402,-4
2427,-6
2571,-4
2589,-6
2616,-8
2671,-6
2697,-4
2801,-1
2870,-3
2875,-1
2880,2
